Abbreviation,PodiumRate,WinRate,DNFRisk,PointsMomentum,Consistency,Experience,GridGain,AverageGridGain
ALB,0.0,0.0,0.0,1.0,5.983310120660639,98.0,1.0,0.4
ALO,0.0,0.0,0.0,0.2,4.037325847637264,121.0,3.0,3.6
ANT,0.5333333333333333,0.3333333333333333,0.0,20.0,6.708203932499369,31.0,1.0,-2.4
BEA,0.0,0.0,0.0,0.2,5.338539126015656,34.0,-1.0,0.0
BOR,0.0,0.0,0.0,0.0,0.9999999999999982,31.0,1.0,2.2
BOT,0.0,0.0,0.0,0.0,2.121320343559649,97.0,-2.0,1.0
COL,0.0,0.0,0.0,3.0,4.33589667773576,34.0,1.0,1.4
DOO,0.0,0.0,0.0,0.0,2.408318915758459,6.0,-6.0,0.2
GAS,0.0666666666666666,0.0,0.0,6.2,6.870225614927066,121.0,-2.0,1.4
HAD,0.0,0.0,0.0,6.0,7.496665925596525,31.0,2.0,-0.2
HAM,0.2666666666666666,0.0666666666666666,0.0,15.4,2.408318915758445,121.0,-2.0,1.0
HUL,0.0,0.0,0.0,0.0,4.183300132670376,79.0,2.0,-3.8
LAW,0.0,0.0,0.0,4.0,5.70087712549569,42.0,0.0,1.0
LEC,0.2666666666666666,0.0,0.0,6.2,6.3482280992415525,121.0,-6.0,-3.6
LIN,0.0,0.0,0.0,1.6,5.805170109479997,7.0,0.0,-1.0
MAG,0.0,0.0,0.0,1.6,4.560701700396549,65.0,-2.0,-1.4
NOR,0.4666666666666667,0.1333333333333333,0.0,8.6,8.384509526501832,121.0,-1.0,-4.6
OCO,0.0,0.0,0.0,0.6,2.1679483388678755,120.0,-1.0,3.6
PER,0.0,0.0,0.0,0.0,1.303840481040495,97.0,-2.0,3.4
PIA,0.2666666666666666,0.0,0.0,10.6,3.492849839314598,77.0,3.0,0.4
RIC,0.0,0.0,0.0,0.2,1.2247448713915965,68.0,-2.0,0.2
RUS,0.4,0.1333333333333333,0.0,8.4,7.155417527999326,121.0,0.0,-5.2
SAI,0.1333333333333333,0.0,0.0,0.8,3.271085446759228,120.0,-3.0,2.2
STR,0.0,0.0,0.0,0.0,2.880972058177585,119.0,3.0,2.4
TSU,0.0,0.0,0.0,1.4,3.646916505762092,113.0,-4.0,3.6
VER,0.6,0.3333333333333333,0.0,8.2,7.82943165242535,121.0,3.0,-3.2
ZHO,0.0,0.0,0.0,0.8,4.0,67.0,2.0,2.2
