Abbreviation,TeamName,GridPosition,Position,Points,Year,Circuit,RaceName,QualiDeltaToPole,QualiDeltaToTeammate,QualiBestTimeSec,TeamMomentum
RAI,Alfa Romeo Racing,14.0,11.0,0.0,2021,Sakhir,Bahrain Grand Prix,2.241,0.53,91.238,0.0
GIO,Alfa Romeo Racing,12.0,12.0,0.0,2021,Sakhir,Bahrain Grand Prix,1.711,-0.53,90.708,0.0
RAI,Alfa Romeo Racing,16.0,13.0,0.0,2021,Imola,Emilia Romagna Grand Prix,1.563,-0.148,75.974,0.0
GIO,Alfa Romeo Racing,17.0,14.0,0.0,2021,Imola,Emilia Romagna Grand Prix,1.711,0.148,76.122,0.0
GIO,Alfa Romeo Racing,12.0,12.0,0.0,2021,Portimão,Portuguese Grand Prix,1.248,-0.532,79.216,0.0
RAI,Alfa Romeo Racing,15.0,20.0,0.0,2021,Portimão,Portuguese Grand Prix,1.78,0.532,79.748,0.0
RAI,Alfa Romeo Racing,17.0,12.0,0.0,2021,Barcelona,Spanish Grand Prix,2.176,0.561,78.917,0.0
GIO,Alfa Romeo Racing,14.0,15.0,0.0,2021,Barcelona,Spanish Grand Prix,1.615,-0.561,78.356,0.0
GIO,Alfa Romeo Racing,10.0,10.0,1.0,2021,Monte Carlo,Monaco Grand Prix,1.063,-0.233,71.409,0.0
RAI,Alfa Romeo Racing,14.0,11.0,0.0,2021,Monte Carlo,Monaco Grand Prix,1.296,0.233,71.642,0.3333333333333333
RAI,Alfa Romeo Racing,14.0,10.0,1.0,2021,Baku,Azerbaijan Grand Prix,1.369,0.0,102.587,0.3333333333333333
GIO,Alfa Romeo Racing,20.0,11.0,0.0,2021,Baku,Azerbaijan Grand Prix,2.0,0.0,82.3725,0.6666666666666666
GIO,Alfa Romeo Racing,13.0,15.0,0.0,2021,Le Castellet,French Grand Prix,1.823,-1.541,91.813,0.0
RAI,Alfa Romeo Racing,17.0,17.0,0.0,2021,Le Castellet,French Grand Prix,3.364,1.541,93.354,0.0
RAI,Alfa Romeo Racing,18.0,11.0,0.0,2021,Spielberg,Styrian Grand Prix,1.588,0.516,65.429,-0.6666666666666666
GIO,Alfa Romeo Racing,15.0,15.0,0.0,2021,Spielberg,Styrian Grand Prix,1.072,-0.516,64.913,-0.3333333333333333
GIO,Alfa Romeo Racing,15.0,14.0,0.0,2021,Spielberg,Austrian Grand Prix,1.057,-0.232,64.777,-0.3333333333333333
RAI,Alfa Romeo Racing,16.0,15.0,0.0,2021,Spielberg,Austrian Grand Prix,1.289,0.232,65.009,0.0
GIO,Alfa Romeo Racing,15.0,13.0,0.0,2021,Silverstone,British Grand Prix,1.572,-0.467,87.595,0.0
RAI,Alfa Romeo Racing,13.0,15.0,0.0,2021,Silverstone,British Grand Prix,2.039,0.467,88.062,0.0
RAI,Alfa Romeo Racing,13.0,10.0,1.0,2021,Budapest,Hungarian Grand Prix,2.134,-0.03,77.553,0.0
GIO,Alfa Romeo Racing,0.0,13.0,0.0,2021,Budapest,Hungarian Grand Prix,2.164,0.03,77.583,0.3333333333333333
GIO,Alfa Romeo Racing,14.0,13.0,0.0,2021,Spa-Francorchamps,Belgian Grand Prix,6.281,-2.146,122.306,0.3333333333333333
RAI,Alfa Romeo Racing,0.0,18.0,0.0,2021,Spa-Francorchamps,Belgian Grand Prix,8.427,2.146,124.452,0.3333333333333333
GIO,Alfa Romeo Racing,7.0,14.0,0.0,2021,Zandvoort,Dutch Grand Prix,0.705,-1.711,69.59,-0.3333333333333333
KUB,Alfa Romeo Racing,16.0,15.0,0.0,2021,Zandvoort,Dutch Grand Prix,2.416,1.711,71.301,-0.3333333333333333
GIO,Alfa Romeo Racing,7.0,13.0,0.0,2021,Monza,Italian Grand Prix,1.171,-1.804,80.726,-0.3333333333333333
KUB,Alfa Romeo Racing,17.0,14.0,0.0,2021,Monza,Italian Grand Prix,2.975,1.804,82.53,0.0
RAI,Alfa Romeo Racing,13.0,8.0,4.0,2021,Sochi,Russian Grand Prix,7.593,-1.437,109.586,0.0
GIO,Alfa Romeo Racing,17.0,16.0,0.0,2021,Sochi,Russian Grand Prix,9.03,1.437,111.023,1.3333333333333333
GIO,Alfa Romeo Racing,16.0,11.0,0.0,2021,Istanbul,Turkish Grand Prix,3.562,-1.095,86.43,1.3333333333333333
RAI,Alfa Romeo Racing,17.0,12.0,0.0,2021,Istanbul,Turkish Grand Prix,4.657,1.095,87.525,1.3333333333333333
GIO,Alfa Romeo Racing,12.0,11.0,0.0,2021,Austin,United States Grand Prix,2.884,-0.517,95.794,-1.3333333333333333
RAI,Alfa Romeo Racing,15.0,13.0,0.0,2021,Austin,United States Grand Prix,3.401,0.517,96.311,-1.3333333333333333
RAI,Alfa Romeo Racing,10.0,8.0,4.0,2021,Mexico City,Mexico City Grand Prix,1.731,-0.291,77.606,-1.3333333333333333
GIO,Alfa Romeo Racing,11.0,11.0,0.0,2021,Mexico City,Mexico City Grand Prix,2.022,0.291,77.897,1.3333333333333333
RAI,Alfa Romeo Racing,0.0,12.0,0.0,2021,São Paulo,São Paulo Grand Prix,1.569,0.161,69.503,1.3333333333333333
GIO,Alfa Romeo Racing,13.0,14.0,0.0,2021,São Paulo,São Paulo Grand Prix,1.408,-0.161,69.342,1.3333333333333333
RAI,Alfa Romeo Racing,16.0,14.0,0.0,2021,Lusail,Qatar Grand Prix,2.329,-0.106,83.156,-1.3333333333333333
GIO,Alfa Romeo Racing,18.0,15.0,0.0,2021,Lusail,Qatar Grand Prix,2.435,0.106,83.262,-1.3333333333333333
GIO,Alfa Romeo Racing,10.0,9.0,2.0,2021,Jeddah,Saudi Arabian Grand Prix,1.105,-0.24,88.616,-1.3333333333333333
RAI,Alfa Romeo Racing,12.0,15.0,0.0,2021,Jeddah,Saudi Arabian Grand Prix,1.345,0.24,88.856,0.6666666666666666
GIO,Alfa Romeo Racing,14.0,17.0,0.0,2021,Yas Island,Abu Dhabi Grand Prix,2.009,-0.661,84.118,0.6666666666666666
RAI,Alfa Romeo Racing,18.0,19.0,0.0,2021,Yas Island,Abu Dhabi Grand Prix,2.67,0.661,84.779,0.6666666666666666
TSU,AlphaTauri,13.0,9.0,2.0,2021,Sakhir,Bahrain Grand Prix,1.61,0.798,90.607,0.0
GAS,AlphaTauri,5.0,17.0,0.0,2021,Sakhir,Bahrain Grand Prix,0.812,-0.798,89.809,0.0
GAS,AlphaTauri,5.0,7.0,6.0,2021,Imola,Emilia Romagna Grand Prix,0.379,0.0,74.79,0.0
TSU,AlphaTauri,20.0,12.0,0.0,2021,Imola,Emilia Romagna Grand Prix,2.0,0.0,82.3725,0.0
GAS,AlphaTauri,9.0,10.0,1.0,2021,Portimão,Portuguese Grand Prix,1.084,-0.411,79.052,0.0
TSU,AlphaTauri,14.0,15.0,0.0,2021,Portimão,Portuguese Grand Prix,1.495,0.411,79.463,1.3333333333333335
GAS,AlphaTauri,12.0,10.0,1.0,2021,Barcelona,Spanish Grand Prix,1.241,-0.574,77.982,-2.333333333333333
TSU,AlphaTauri,16.0,20.0,0.0,2021,Barcelona,Spanish Grand Prix,1.815,0.574,78.556,-1.3333333333333335
GAS,AlphaTauri,6.0,6.0,8.0,2021,Monte Carlo,Monaco Grand Prix,0.554,-1.196,70.9,-2.0
