Abbreviation,TeamName,GridPosition,Position,Points,Year,Circuit,RaceName,QualiDeltaToPole,QualiDeltaToTeammate,QualiBestTimeSec,TeamMomentum,Podium,Win,DNF,DriverForm3,DriverForm5,QualifyingForm3,QualifyingForm5,AverageFinish,AverageGrid,GridGain,AverageGridGain,PodiumRate,WinRate,PointsMomentum,TeamForm,CircuitHistory,DNFRisk,Consistency,Experience,FrontRow,TopFive,TeamGridInteraction
ALO,Alpine,9.0,19.0,0.0,2021,Sakhir,Bahrain Grand Prix,1.252,-1.475,90.249,0.0,0,0,0,10.5,10.5,10.5,10.5,10.5,10.5,-10.0,0.0,0.0,0.0,0.0,5.0,10.5,0.1,10.5,0.0,0,0,0.5
ALO,Alpine,15.0,10.0,1.0,2021,Imola,Emilia Romagna Grand Prix,1.182,0.476,75.593,0.0,0,0,0,19.0,19.0,9.0,9.0,19.0,9.0,5.0,-10.0,0.0,0.0,0.0,0.0,10.5,0.0,10.5,1.0,0,0,0.0
ALO,Alpine,13.0,8.0,4.0,2021,Portimão,Portuguese Grand Prix,1.488,0.87,79.456,3.0,0,0,0,14.5,14.5,12.0,12.0,14.5,12.0,5.0,-2.5,0.0,0.0,0.5,0.5,10.5,0.0,10.5,2.0,0,0,0.03571428571428571
ALO,Alpine,10.0,17.0,0.0,2021,Barcelona,Spanish Grand Prix,1.225,0.386,77.966,3.0,0,0,0,12.333333333333334,12.333333333333334,12.333333333333334,12.333333333333334,12.333333333333334,12.333333333333334,-7.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,10.5,0.0,5.8594652770823155,3.0,0,0,0.15151515151515152
ALO,Alpine,17.0,13.0,0.0,2021,Monte Carlo,Monaco Grand Prix,1.859,0.719,72.205,-2.333333333333333,0,0,0,11.666666666666666,13.5,12.666666666666666,11.75,13.5,11.75,4.0,-1.75,0.0,0.0,1.25,1.25,10.5,0.0,5.32290647422377,4.0,0,0,0.06944444444444445
ALO,Alpine,8.0,6.0,8.0,2021,Baku,Azerbaijan Grand Prix,0.977,-0.078,102.195,-3.333333333333333,0,0,0,12.666666666666666,13.4,13.333333333333334,12.8,13.4,12.8,2.0,-0.6,0.0,0.0,1.0,1.0,10.5,0.0,4.61519230368573,5.0,0,0,0.1111111111111111
ALO,Alpine,9.0,8.0,4.0,2021,Le Castellet,French Grand Prix,1.35,-0.396,91.34,1.3333333333333333,0,0,0,12.0,10.8,11.666666666666666,12.6,12.166666666666666,12.0,1.0,1.8,0.0,0.0,2.6,2.6,10.5,0.0,4.324349662087931,6.0,0,0,0.26
ALO,Alpine,8.0,9.0,2.0,2021,Spielberg,Styrian Grand Prix,0.733,-0.643,64.574,-2.0,0,0,0,9.0,10.4,11.333333333333334,11.4,11.571428571428571,11.571428571428571,-1.0,1.0,0.0,0.0,3.2,3.2,10.5,0.0,4.505552130427525,7.0,0,0,0.35555555555555557
ALO,Alpine,14.0,10.0,1.0,2021,Spielberg,Austrian Grand Prix,0.752,-0.579,64.472,-3.333333333333333,0,0,0,7.666666666666667,10.6,8.333333333333334,10.4,11.25,11.125,4.0,-0.2,0.0,0.0,2.8,2.8,9.0,0.0,4.39317652729776,8.0,0,0,0.18666666666666665
ALO,Alpine,7.0,7.0,6.0,2021,Silverstone,British Grand Prix,1.222,-0.095,87.245,-1.6666666666666667,0,0,0,9.0,9.2,10.333333333333334,11.2,11.11111111111111,11.444444444444445,0.0,2.0,0.0,0.0,3.0,3.0,10.5,0.0,2.5884358211089578,9.0,0,0,0.375
ALO,Alpine,9.0,4.0,12.0,2021,Budapest,Hungarian Grand Prix,1.122,-0.112,76.541,10.666666666666666,0,0,0,8.666666666666666,8.0,9.666666666666666,9.2,10.7,11.0,5.0,1.2,0.0,0.0,4.2,4.2,10.5,0.0,1.5811388300841904,10.0,0,0,0.42000000000000004
ALO,Alpine,12.0,11.0,0.0,2021,Spa-Francorchamps,Belgian Grand Prix,2.18,0.851,118.205,10.666666666666668,0,0,0,7.0,7.6,10.0,9.4,10.090909090909092,10.818181818181818,1.0,1.8,0.0,0.0,5.0,5.0,10.5,0.0,2.3021728866442683,11.0,0,0,0.38461538461538464
ALO,Alpine,9.0,6.0,8.0,2021,Zandvoort,Dutch Grand Prix,1.071,0.037,69.956,-6.0,0,0,0,7.333333333333333,8.2,9.333333333333334,10.0,10.166666666666666,10.916666666666666,3.0,1.8,0.0,0.0,4.2,4.2,10.5,0.0,2.774887385102322,12.0,0,0,0.42000000000000004
ALO,Alpine,10.0,8.0,4.0,2021,Monza,Italian Grand Prix,1.514,-0.034,81.069,-10.0,0,0,0,7.0,7.6,10.0,10.2,9.846153846153847,10.76923076923077,2.0,2.6,0.0,0.0,5.4,5.4,10.5,0.0,2.880972058177587,13.0,0,0,0.49090909090909096
ALO,Alpine,6.0,6.0,8.0,2021,Sochi,Russian Grand Prix,2.211,-1.661,104.204,-1.333333333333333,0,0,0,8.333333333333334,7.2,10.333333333333334,9.4,9.714285714285714,10.714285714285714,0.0,2.2,0.0,0.0,6.0,6.0,10.5,0.0,2.5884358211089573,14.0,0,0,0.8571428571428571
ALO,Alpine,5.0,16.0,0.0,2021,Istanbul,Turkish Grand Prix,0.609,-1.365,83.477,0.6666666666666665,0,0,0,6.666666666666667,7.0,8.333333333333334,9.2,9.466666666666667,10.4,-11.0,2.2,0.0,0.0,6.4,6.4,10.5,0.0,2.6457513110645907,15.0,0,1,1.0666666666666667
ALO,Alpine,19.0,18.0,0.0,2021,Austin,United States Grand Prix,2.846,0.379,95.756,-4.0,0,0,0,10.0,9.4,7.0,8.4,9.875,10.0625,1.0,-1.0,0.0,0.0,4.0,4.0,10.5,0.0,4.219004621945797,16.0,0,0,0.2
ALO,Alpine,12.0,9.0,2.0,2021,Mexico City,Mexico City Grand Prix,2.577,0.326,78.452,-3.0,0,0,0,13.333333333333334,10.8,10.0,9.8,10.352941176470589,10.588235294117647,3.0,-1.0,0.0,0.0,4.0,4.0,10.5,0.0,5.761944116355173,17.0,0,0,0.3076923076923077
ALO,Alpine,12.0,9.0,2.0,2021,São Paulo,São Paulo Grand Prix,1.179,-0.076,69.113,2.0,0,0,0,14.333333333333334,11.4,12.0,10.4,10.277777777777779,10.666666666666666,3.0,-1.0,0.0,0.0,2.8,2.8,10.5,0.0,5.272570530585627,18.0,0,0,0.21538461538461537
ALO,Alpine,3.0,3.0,15.0,2021,Lusail,Qatar Grand Prix,0.843,-0.342,81.67,1.3333333333333337,1,0,0,12.0,11.6,14.333333333333334,10.8,10.210526315789474,10.736842105263158,0.0,-0.8,0.0,0.0,2.4,2.4,10.5,0.0,5.128352561983234,19.0,0,1,0.6
ALO,Alpine,13.0,13.0,0.0,2021,Jeddah,Saudi Arabian Grand Prix,1.409,0.346,88.92,10.333333333333334,0,0,0,7.0,11.0,9.0,10.2,9.85,10.35,0.0,-0.8,0.06666666666666667,0.0,3.8,3.8,10.5,0.0,6.041522986797286,20.0,0,0,0.2714285714285714
ALO,Alpine,11.0,8.0,4.0,2021,Yas Island,Abu Dhabi Grand Prix,1.351,0.071,83.46,0.333333333333333,0,0,0,8.333333333333334,10.4,9.333333333333334,11.8,10.0,10.476190476190476,3.0,1.4,0.06666666666666667,0.0,3.8,3.8,10.5,0.0,5.549774770204643,21.0,0,0,0.31666666666666665
BOT,Mercedes,3.0,3.0,16.0,2021,Sakhir,Bahrain Grand Prix,0.589,0.201,89.586,0.0,1,0,0,10.5,10.5,10.5,10.5,10.5,10.5,0.0,0.0,0.0,0.0,0.0,5.0,10.5,0.1,10.5,0.0,0,1,1.25
BOT,Mercedes,8.0,18.0,0.0,2021,Imola,Emilia Romagna Grand Prix,0.261,0.261,74.672,0.0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,-10.0,0.0,1.0,0.0,16.0,16.0,10.5,0.0,10.5,1.0,0,0,1.7777777777777777
BOT,Mercedes,1.0,3.0,16.0,2021,Portimão,Portuguese Grand Prix,0.38,0.38,78.348,-5.833333333333334,1,0,0,10.5,10.5,5.5,5.5,10.5,5.5,-2.0,-5.0,0.5,0.0,8.0,8.0,10.5,0.0,10.5,2.0,1,1,4.0
BOT,Mercedes,3.0,3.0,15.0,2021,Barcelona,Spanish Grand Prix,0.132,0.132,76.873,10.333333333333334,1,0,0,8.0,8.0,4.0,4.0,8.0,4.0,0.0,-4.0,0.6666666666666666,0.0,10.666666666666666,10.666666666666666,10.5,0.0,8.660254037844387,3.0,0,1,2.6666666666666665
BOT,Mercedes,3.0,19.0,0.0,2021,Monte Carlo,Monaco Grand Prix,0.255,-0.494,70.601,2.0,0,0,0,8.0,6.75,4.0,3.75,6.75,3.75,-16.0,-3.0,0.75,0.0,11.75,11.75,10.5,0.0,7.5,4.0,0,1,2.9375
BOT,Mercedes,10.0,12.0,0.0,2021,Baku,Azerbaijan Grand Prix,0.888,0.656,102.106,-14.666666666666668,0,0,0,8.333333333333334,9.2,2.3333333333333335,3.6,9.2,3.6,-2.0,-5.6,0.6,0.0,9.4,9.4,10.5,0.0,8.497058314499201,5.0,0,0,0.8545454545454546
BOT,Mercedes,3.0,4.0,12.0,2021,Le Castellet,French Grand Prix,0.386,0.128,90.376,-1.333333333333333,0,0,0,11.333333333333334,11.0,5.333333333333333,5.0,9.666666666666666,4.666666666666667,-1.0,-6.0,0.5,0.0,6.2,6.2,10.5,0.0,7.7781745930520225,6.0,0,1,1.55
BOT,Mercedes,5.0,3.0,15.0,2021,Spielberg,Styrian Grand Prix,0.194,-0.032,64.035,16.333333333333332,1,0,0,11.666666666666666,8.2,5.333333333333333,4.0,8.857142857142858,4.428571428571429,2.0,-4.2,0.42857142857142855,0.0,8.6,8.6,10.5,0.0,7.12039324756716,7.0,0,1,1.4333333333333333
BOT,Mercedes,5.0,2.0,18.0,2021,Spielberg,Austrian Grand Prix,0.329,0.035,64.049,9.333333333333334,1,0,0,6.333333333333333,8.2,6.0,4.8,8.125,4.5,3.0,-3.4,0.5,0.0,8.4,8.4,3.0,0.0,7.12039324756716,8.0,0,1,1.4000000000000001
BOT,Mercedes,3.0,3.0,15.0,2021,Silverstone,British Grand Prix,0.305,0.305,86.328,2.9999999999999982,1,0,0,3.0,8.0,4.333333333333333,5.2,7.444444444444445,4.555555555555555,0.0,-2.8,0.5555555555555556,0.0,9.0,9.0,10.5,0.0,7.314369419163897,9.0,0,1,2.25
BOT,Mercedes,2.0,16.0,0.0,2021,Budapest,Hungarian Grand Prix,0.315,0.315,75.734,4.333333333333332,0,0,0,2.6666666666666665,4.8,4.333333333333333,5.2,7.0,4.4,-14.0,0.4,0.6,0.0,12.0,12.0,10.5,0.0,4.08656334834051,10.0,1,1,4.0
BOT,Mercedes,13.0,12.0,0.0,2021,Spa-Francorchamps,Belgian Grand Prix,0.27,0.066,116.295,-8.833333333333332,0,0,0,7.0,5.6,3.3333333333333335,3.6,7.818181818181818,4.181818181818182,1.0,-2.0,0.5454545454545454,0.0,12.0,12.0,10.5,0.0,5.856620185738529,11.0,0,0,0.8571428571428571
BOT,Mercedes,3.0,3.0,15.0,2021,Zandvoort,Dutch Grand Prix,0.337,0.299,69.222,-2.166666666666666,1,0,0,10.333333333333334,7.2,6.0,5.6,8.166666666666666,4.916666666666667,0.0,-1.6,0.5,0.0,9.6,9.6,10.5,0.0,6.3796551630946325,12.0,0,1,2.4
BOT,Mercedes,19.0,3.0,15.0,2021,Monza,Italian Grand Prix,0.0,-0.096,79.555,2.833333333333334,1,0,0,10.333333333333334,7.2,6.0,5.2,7.769230769230769,4.769230769230769,16.0,-2.0,0.5384615384615384,0.0,9.6,9.6,10.5,0.0,6.3796551630946325,13.0,0,0,0.48
BOT,Mercedes,16.0,5.0,10.0,2021,Sochi,Russian Grand Prix,2.717,0.66,104.71,2.0,0,0,0,6.0,7.4,11.666666666666666,8.0,7.428571428571429,5.785714285714286,11.0,0.6,0.5714285714285714,0.0,9.0,9.0,10.5,0.0,6.18869937870632,14.0,0,0,0.5294117647058824
BOT,Mercedes,1.0,1.0,26.0,2021,Istanbul,Turkish Grand Prix,0.13,0.13,82.998,-4.666666666666666,1,1,0,3.6666666666666665,7.8,12.666666666666666,10.6,7.266666666666667,6.466666666666667,0.0,2.8,0.5333333333333333,0.0,8.0,8.0,10.5,0.0,5.890670590009257,15.0,1,1,4.0
BOT,Mercedes,9.0,6.0,8.0,2021,Austin,United States Grand Prix,0.565,0.356,93.475,6.666666666666666,0,0,0,3.0,4.8,12.0,10.4,6.875,6.125,3.0,5.6,0.5333333333333333,0.06666666666666667,13.2,13.2,10.5,0.0,4.266145801540309,16.0,0,0,1.3199999999999998
BOT,Mercedes,1.0,15.0,0.0,2021,Mexico City,Mexico City Grand Prix,0.0,-0.145,75.875,-0.3333333333333339,0,0,0,4.0,3.6,8.666666666666666,9.6,6.823529411764706,6.294117647058823,-14.0,6.0,0.5333333333333333,0.06666666666666667,14.8,14.8,10.5,0.0,1.9493588689617936,17.0,1,1,7.4
BOT,Mercedes,1.0,3.0,15.0,2021,São Paulo,São Paulo Grand Prix,0.492,0.492,68.426,2.0,1,0,0,7.333333333333333,6.0,3.6666666666666665,9.2,7.277777777777778,6.0,-2.0,3.2,0.4666666666666667,0.06666666666666667,11.8,11.8,10.5,0.0,5.385164807134505,18.0,1,1,5.9
BOT,Mercedes,6.0,20.0,0.0,2021,Lusail,Qatar Grand Prix,0.651,0.651,81.478,13.000000000000002,0,0,0,8.0,6.0,3.6666666666666665,5.6,7.052631578947368,5.7368421052631575,-14.0,-0.4,0.4666666666666667,0.06666666666666667,11.8,11.8,10.5,0.0,5.385164807134505,19.0,0,0,1.6857142857142857
BOT,Mercedes,2.0,3.0,15.0,2021,Jeddah,Saudi Arabian Grand Prix,0.111,0.111,87.622,3.666666666666666,1,0,0,12.666666666666666,9.0,2.6666666666666665,3.6,7.7,5.75,-1.0,-5.4,0.4666666666666667,0.06666666666666667,9.8,9.8,10.5,0.0,8.154753215150045,20.0,1,1,3.266666666666667
BOT,Mercedes,6.0,6.0,8.0,2021,Yas Island,Abu Dhabi Grand Prix,0.927,0.556,83.036,6.333333333333334,0,0,0,8.666666666666666,9.4,3.0,3.8,7.476190476190476,5.571428571428571,0.0,-5.6,0.5333333333333333,0.06666666666666667,7.6,7.6,10.5,0.0,7.700649323271382,21.0,0,0,1.0857142857142856
GAS,AlphaTauri,5.0,17.0,0.0,2021,Sakhir,Bahrain Grand Prix,0.812,-0.798,89.809,0.0,0,0,0,10.5,10.5,10.5,10.5,10.5,10.5,-12.0,0.0,0.0,0.0,0.0,5.0,10.5,0.1,10.5,0.0,0,1,0.8333333333333334
GAS,AlphaTauri,5.0,7.0,6.0,2021,Imola,Emilia Romagna Grand Prix,0.379,0.0,74.79,0.0,0,0,0,17.0,17.0,5.0,5.0,17.0,5.0,-2.0,-12.0,0.0,0.0,0.0,0.0,10.5,0.0,10.5,1.0,0,1,0.0
GAS,AlphaTauri,9.0,10.0,1.0,2021,Portimão,Portuguese Grand Prix,1.084,-0.411,79.052,0.0,0,0,0,12.0,12.0,5.0,5.0,12.0,5.0,-1.0,-7.0,0.0,0.0,3.0,3.0,10.5,0.0,10.5,2.0,0,0,0.3
GAS,AlphaTauri,12.0,10.0,1.0,2021,Barcelona,Spanish Grand Prix,1.241,-0.574,77.982,-2.333333333333333,0,0,0,11.333333333333334,11.333333333333334,6.333333333333333,6.333333333333333,11.333333333333334,6.333333333333333,2.0,-5.0,0.0,0.0,2.3333333333333335,2.3333333333333335,10.5,0.0,5.131601439446884,3.0,0,0,0.1794871794871795
GAS,AlphaTauri,6.0,6.0,8.0,2021,Monte Carlo,Monaco Grand Prix,0.554,-1.196,70.9,-2.0,0,0,0,9.0,11.0,8.666666666666666,7.75,11.0,7.75,0.0,-3.25,0.0,0.0,2.0,2.0,10.5,0.0,4.242640687119286,4.0,0,0,0.2857142857142857
GAS,AlphaTauri,4.0,3.0,15.0,2021,Baku,Azerbaijan Grand Prix,0.347,-0.089,101.565,2.0,1,0,0,8.666666666666666,10.0,9.0,7.4,10.0,7.4,1.0,-2.6,0.0,0.0,3.2,3.2,10.5,0.0,4.301162633521313,5.0,0,1,0.64
GAS,AlphaTauri,6.0,7.0,6.0,2021,Le Castellet,French Grand Prix,0.878,0.0,90.868,4.0,0,0,0,6.333333333333333,7.2,7.333333333333333,7.2,8.833333333333334,6.833333333333333,-1.0,0.0,0.16666666666666666,0.0,6.2,6.2,10.5,0.0,2.949576240750525,6.0,0,0,0.8857142857142858
GAS,AlphaTauri,6.0,20.0,0.0,2021,Spielberg,Styrian Grand Prix,0.395,-0.278,64.236,-4.666666666666666,0,0,0,5.333333333333333,7.2,5.333333333333333,7.4,8.571428571428571,6.714285714285714,-14.0,0.2,0.14285714285714285,0.0,6.2,6.2,10.5,0.0,2.949576240750525,7.0,0,0,0.8857142857142858
GAS,AlphaTauri,6.0,9.0,2.0,2021,Spielberg,Austrian Grand Prix,0.387,-0.166,64.107,-8.666666666666666,0,0,0,10.0,9.2,5.333333333333333,6.8,10.0,6.625,-3.0,-2.4,0.125,0.0,6.0,6.0,20.0,0.0,6.534523701081817,8.0,0,0,0.8571428571428571
GAS,AlphaTauri,11.0,11.0,0.0,2021,Silverstone,British Grand Prix,1.25,-0.77,87.273,0.6666666666666667,0,0,0,12.0,9.0,6.0,5.6,9.88888888888889,6.555555555555555,0.0,-3.4,0.1111111111111111,0.0,6.2,6.2,10.5,0.0,6.519202405202649,9.0,0,0,0.5166666666666667
GAS,AlphaTauri,5.0,5.0,11.0,2021,Budapest,Hungarian Grand Prix,0.975,-1.525,76.394,-0.6666666666666667,0,0,0,13.333333333333334,10.0,7.666666666666667,6.6,10.0,7.0,0.0,-3.4,0.1,0.0,4.6,4.6,10.5,0.0,6.324555320336759,10.0,0,1,0.7666666666666666
GAS,AlphaTauri,6.0,6.0,4.0,2021,Spa-Francorchamps,Belgian Grand Prix,0.415,-5.973,116.44,5.333333333333333,0,0,0,8.333333333333334,10.4,7.333333333333333,6.8,9.545454545454545,6.818181818181818,0.0,-3.6,0.09090909090909091,0.0,3.8,3.8,10.5,0.0,5.813776741499453,11.0,0,0,0.5428571428571428
GAS,AlphaTauri,4.0,4.0,12.0,2021,Zandvoort,Dutch Grand Prix,0.593,-0.984,69.478,0.0,0,0,0,7.333333333333333,10.2,7.333333333333333,6.8,9.25,6.75,0.0,-3.4,0.08333333333333333,0.0,3.4,3.4,10.5,0.0,5.974947698515862,12.0,0,1,0.6799999999999999
