Abbreviation,TeamName,GridPosition,Position,Points,Race,Round,Year
RUS,Mercedes,1.0,1.0,25.0,Australian Grand Prix,1,2026
ANT,Mercedes,2.0,2.0,18.0,Australian Grand Prix,1,2026
LEC,Ferrari,4.0,3.0,15.0,Australian Grand Prix,1,2026
HAM,Ferrari,7.0,4.0,12.0,Australian Grand Prix,1,2026
NOR,McLaren,6.0,5.0,10.0,Australian Grand Prix,1,2026
VER,Red Bull Racing,20.0,6.0,8.0,Australian Grand Prix,1,2026
BEA,Haas F1 Team,12.0,7.0,6.0,Australian Grand Prix,1,2026
LIN,Racing Bulls,9.0,8.0,4.0,Australian Grand Prix,1,2026
BOR,Audi,10.0,9.0,2.0,Australian Grand Prix,1,2026
GAS,Alpine,14.0,10.0,1.0,Australian Grand Prix,1,2026
OCO,Haas F1 Team,13.0,11.0,0.0,Australian Grand Prix,1,2026
ALB,Williams,15.0,12.0,0.0,Australian Grand Prix,1,2026
LAW,Racing Bulls,8.0,13.0,0.0,Australian Grand Prix,1,2026
COL,Alpine,16.0,14.0,0.0,Australian Grand Prix,1,2026
SAI,Williams,21.0,15.0,0.0,Australian Grand Prix,1,2026
PER,Cadillac,18.0,16.0,0.0,Australian Grand Prix,1,2026
STR,Aston Martin,22.0,17.0,0.0,Australian Grand Prix,1,2026
ALO,Aston Martin,17.0,18.0,0.0,Australian Grand Prix,1,2026
BOT,Cadillac,19.0,19.0,0.0,Australian Grand Prix,1,2026
HAD,Red Bull Racing,3.0,20.0,0.0,Australian Grand Prix,1,2026
PIA,McLaren,5.0,21.0,0.0,Australian Grand Prix,1,2026
HUL,Audi,11.0,22.0,0.0,Australian Grand Prix,1,2026
