Abbreviation,TeamName,GridPosition,Position,Points,Race,Round,Year
ANT,Mercedes,1.0,1.0,25.0,Chinese Grand Prix,2,2026
RUS,Mercedes,2.0,2.0,18.0,Chinese Grand Prix,2,2026
HAM,Ferrari,3.0,3.0,15.0,Chinese Grand Prix,2,2026
LEC,Ferrari,4.0,4.0,12.0,Chinese Grand Prix,2,2026
BEA,Haas F1 Team,10.0,5.0,10.0,Chinese Grand Prix,2,2026
GAS,Alpine,7.0,6.0,8.0,Chinese Grand Prix,2,2026
LAW,Racing Bulls,14.0,7.0,6.0,Chinese Grand Prix,2,2026
HAD,Red Bull Racing,9.0,8.0,4.0,Chinese Grand Prix,2,2026
SAI,Williams,17.0,9.0,2.0,Chinese Grand Prix,2,2026
COL,Alpine,12.0,10.0,1.0,Chinese Grand Prix,2,2026
HUL,Audi,11.0,11.0,0.0,Chinese Grand Prix,2,2026
LIN,Racing Bulls,15.0,12.0,0.0,Chinese Grand Prix,2,2026
BOT,Cadillac,19.0,13.0,0.0,Chinese Grand Prix,2,2026
OCO,Haas F1 Team,13.0,14.0,0.0,Chinese Grand Prix,2,2026
PER,Cadillac,21.0,15.0,0.0,Chinese Grand Prix,2,2026
VER,Red Bull Racing,8.0,16.0,0.0,Chinese Grand Prix,2,2026
ALO,Aston Martin,18.0,17.0,0.0,Chinese Grand Prix,2,2026
STR,Aston Martin,20.0,18.0,0.0,Chinese Grand Prix,2,2026
PIA,McLaren,5.0,19.0,0.0,Chinese Grand Prix,2,2026
NOR,McLaren,6.0,20.0,0.0,Chinese Grand Prix,2,2026
BOR,Audi,16.0,21.0,0.0,Chinese Grand Prix,2,2026
ALB,Williams,22.0,22.0,0.0,Chinese Grand Prix,2,2026
