GridPosition,Position,Abbreviation,Points,TeamName,Race,Round,Year
1.0,1.0,ANT,25.0,Mercedes,Miami Grand Prix,4,2026
4.0,2.0,NOR,18.0,McLaren,Miami Grand Prix,4,2026
7.0,3.0,PIA,15.0,McLaren,Miami Grand Prix,4,2026
5.0,4.0,RUS,12.0,Mercedes,Miami Grand Prix,4,2026
2.0,5.0,VER,10.0,Red Bull Racing,Miami Grand Prix,4,2026
6.0,6.0,HAM,8.0,Ferrari,Miami Grand Prix,4,2026
8.0,7.0,COL,6.0,Alpine,Miami Grand Prix,4,2026
3.0,8.0,LEC,4.0,Ferrari,Miami Grand Prix,4,2026
13.0,9.0,SAI,2.0,Williams,Miami Grand Prix,4,2026
15.0,10.0,ALB,1.0,Williams,Miami Grand Prix,4,2026
12.0,11.0,BEA,0.0,Haas F1 Team,Miami Grand Prix,4,2026
21.0,12.0,BOR,0.0,Audi,Miami Grand Prix,4,2026
14.0,13.0,OCO,0.0,Haas F1 Team,Miami Grand Prix,4,2026
16.0,14.0,LIN,0.0,Racing Bulls,Miami Grand Prix,4,2026
17.0,15.0,ALO,0.0,Aston Martin,Miami Grand Prix,4,2026
20.0,16.0,PER,0.0,Cadillac,Miami Grand Prix,4,2026
18.0,17.0,STR,0.0,Aston Martin,Miami Grand Prix,4,2026
19.0,18.0,BOT,0.0,Cadillac,Miami Grand Prix,4,2026
10.0,19.0,HUL,0.0,Audi,Miami Grand Prix,4,2026
11.0,20.0,LAW,0.0,Racing Bulls,Miami Grand Prix,4,2026
9.0,21.0,GAS,0.0,Alpine,Miami Grand Prix,4,2026
22.0,22.0,HAD,0.0,Red Bull Racing,Miami Grand Prix,4,2026
