GridPosition,Position,Abbreviation,Points,TeamName,Race,Round,Year
1.0,1.0,ANT,25.0,Mercedes,Monaco Grand Prix,6,2026
3.0,2.0,HAM,18.0,Ferrari,Monaco Grand Prix,6,2026
9.0,3.0,GAS,15.0,Alpine,Monaco Grand Prix,6,2026
5.0,4.0,HAD,12.0,Red Bull Racing,Monaco Grand Prix,6,2026
7.0,5.0,PIA,10.0,McLaren,Monaco Grand Prix,6,2026
10.0,6.0,LAW,8.0,Racing Bulls,Monaco Grand Prix,6,2026
15.0,7.0,LIN,6.0,Racing Bulls,Monaco Grand Prix,6,2026
11.0,8.0,ALB,4.0,Williams,Monaco Grand Prix,6,2026
17.0,9.0,OCO,2.0,Haas F1 Team,Monaco Grand Prix,6,2026
21.0,10.0,ALO,1.0,Aston Martin,Monaco Grand Prix,6,2026
16.0,11.0,BOR,0.0,Audi,Monaco Grand Prix,6,2026
6.0,12.0,RUS,0.0,Mercedes,Monaco Grand Prix,6,2026
13.0,13.0,HUL,0.0,Audi,Monaco Grand Prix,6,2026
14.0,14.0,COL,0.0,Alpine,Monaco Grand Prix,6,2026
18.0,15.0,PER,0.0,Cadillac,Monaco Grand Prix,6,2026
12.0,16.0,SAI,0.0,Williams,Monaco Grand Prix,6,2026
4.0,17.0,LEC,0.0,Ferrari,Monaco Grand Prix,6,2026
22.0,18.0,STR,0.0,Aston Martin,Monaco Grand Prix,6,2026
8.0,19.0,NOR,0.0,McLaren,Monaco Grand Prix,6,2026
19.0,20.0,BEA,0.0,Haas F1 Team,Monaco Grand Prix,6,2026
20.0,21.0,BOT,0.0,Cadillac,Monaco Grand Prix,6,2026
2.0,22.0,VER,0.0,Red Bull Racing,Monaco Grand Prix,6,2026
