TeamName,Position,Abbreviation,GridPosition,Points,Race,Round,Year
Mercedes,1.0,ANT,1.0,25.0,Belgian Grand Prix,10,2026
Ferrari,2.0,LEC,4.0,18.0,Belgian Grand Prix,10,2026
Red Bull Racing,3.0,VER,2.0,15.0,Belgian Grand Prix,10,2026
Ferrari,4.0,HAM,5.0,12.0,Belgian Grand Prix,10,2026
McLaren,5.0,PIA,6.0,10.0,Belgian Grand Prix,10,2026
Red Bull Racing,6.0,HAD,21.0,8.0,Belgian Grand Prix,10,2026
McLaren,7.0,NOR,13.0,6.0,Belgian Grand Prix,10,2026
Audi,8.0,BOR,8.0,4.0,Belgian Grand Prix,10,2026
Racing Bulls,9.0,LIN,7.0,2.0,Belgian Grand Prix,10,2026
Alpine,10.0,COL,11.0,1.0,Belgian Grand Prix,10,2026
Alpine,11.0,GAS,10.0,0.0,Belgian Grand Prix,10,2026
Racing Bulls,12.0,LAW,9.0,0.0,Belgian Grand Prix,10,2026
Audi,13.0,HUL,12.0,0.0,Belgian Grand Prix,10,2026
Haas F1 Team,14.0,BEA,14.0,0.0,Belgian Grand Prix,10,2026
Williams,15.0,ALB,15.0,0.0,Belgian Grand Prix,10,2026
Williams,16.0,SAI,19.0,0.0,Belgian Grand Prix,10,2026
Haas F1 Team,17.0,OCO,16.0,0.0,Belgian Grand Prix,10,2026
Cadillac,18.0,BOT,17.0,0.0,Belgian Grand Prix,10,2026
Aston Martin,19.0,ALO,22.0,0.0,Belgian Grand Prix,10,2026
Aston Martin,20.0,STR,20.0,0.0,Belgian Grand Prix,10,2026
Cadillac,21.0,PER,18.0,0.0,Belgian Grand Prix,10,2026
Mercedes,22.0,RUS,3.0,0.0,Belgian Grand Prix,10,2026
