Position,GridPosition,Points,TeamName,Abbreviation,Race,Round,Year
1.0,1.0,25.0,McLaren,NOR,Hungarian Grand Prix,11,2026
2.0,4.0,18.0,Red Bull,VER,Hungarian Grand Prix,11,2026
3.0,7.0,15.0,Mercedes,ANT,Hungarian Grand Prix,11,2026
4.0,2.0,12.0,Ferrari,LEC,Hungarian Grand Prix,11,2026
5.0,5.0,10.0,Ferrari,HAM,Hungarian Grand Prix,11,2026
6.0,8.0,8.0,Red Bull,HAD,Hungarian Grand Prix,11,2026
7.0,6.0,6.0,Mercedes,RUS,Hungarian Grand Prix,11,2026
8.0,11.0,4.0,RB F1 Team,LAW,Hungarian Grand Prix,11,2026
9.0,10.0,2.0,Audi,HUL,Hungarian Grand Prix,11,2026
10.0,9.0,1.0,RB F1 Team,LIN,Hungarian Grand Prix,11,2026
11.0,14.0,0.0,Audi,BOR,Hungarian Grand Prix,11,2026
12.0,12.0,0.0,Alpine F1 Team,GAS,Hungarian Grand Prix,11,2026
13.0,20.0,0.0,Aston Martin,STR,Hungarian Grand Prix,11,2026
14.0,16.0,0.0,Aston Martin,ALO,Hungarian Grand Prix,11,2026
15.0,13.0,0.0,Alpine F1 Team,COL,Hungarian Grand Prix,11,2026
16.0,15.0,0.0,Haas F1 Team,OCO,Hungarian Grand Prix,11,2026
17.0,19.0,0.0,Williams,ALB,Hungarian Grand Prix,11,2026
18.0,18.0,0.0,Williams,SAI,Hungarian Grand Prix,11,2026
19.0,17.0,0.0,Haas F1 Team,BEA,Hungarian Grand Prix,11,2026
20.0,3.0,0.0,McLaren,PIA,Hungarian Grand Prix,11,2026
21.0,22.0,0.0,Cadillac F1 Team,PER,Hungarian Grand Prix,11,2026
22.0,21.0,0.0,Cadillac F1 Team,BOT,Hungarian Grand Prix,11,2026
