Abbreviation,Position,GridPosition,TeamName,Points,Race,Round,Year
ANT,1.0,2.0,Mercedes,25.0,Spanish Grand Prix,14,2026
VER,2.0,3.0,Red Bull,18.0,Spanish Grand Prix,14,2026
NOR,3.0,1.0,McLaren,15.0,Spanish Grand Prix,14,2026
LEC,4.0,5.0,Ferrari,12.0,Spanish Grand Prix,14,2026
RUS,5.0,6.0,Mercedes,10.0,Spanish Grand Prix,14,2026
LAW,6.0,8.0,Red Bull,8.0,Spanish Grand Prix,14,2026
COL,7.0,9.0,Alpine F1 Team,6.0,Spanish Grand Prix,14,2026
PIA,8.0,7.0,McLaren,4.0,Spanish Grand Prix,14,2026
LIN,9.0,10.0,RB F1 Team,2.0,Spanish Grand Prix,14,2026
HUL,10.0,11.0,Audi,1.0,Spanish Grand Prix,14,2026
OCO,11.0,13.0,Haas F1 Team,0.0,Spanish Grand Prix,14,2026
GAS,12.0,14.0,Alpine F1 Team,0.0,Spanish Grand Prix,14,2026
BOR,13.0,12.0,Audi,0.0,Spanish Grand Prix,14,2026
TSU,14.0,15.0,RB F1 Team,0.0,Spanish Grand Prix,14,2026
ALB,15.0,16.0,Williams,0.0,Spanish Grand Prix,14,2026
BEA,16.0,22.0,Haas F1 Team,0.0,Spanish Grand Prix,14,2026
ALO,17.0,17.0,Aston Martin,0.0,Spanish Grand Prix,14,2026
BOT,18.0,19.0,Cadillac F1 Team,0.0,Spanish Grand Prix,14,2026
SAI,19.0,20.0,Williams,0.0,Spanish Grand Prix,14,2026
PER,20.0,18.0,Cadillac F1 Team,0.0,Spanish Grand Prix,14,2026
STR,21.0,21.0,Aston Martin,0.0,Spanish Grand Prix,14,2026
HAM,22.0,4.0,Ferrari,0.0,Spanish Grand Prix,14,2026
